numero_facture;categorie;nb_envois;envoi_num;send_date;send_by;success;fne_invoice_id;fne_reference;fne_ncc;is_manual;error_message
8000061535;DIFFERENT_REFERENCE;2;1;2026-01-16 15:29:05;jp.sery;OK;8182a290-1eb2-4667-9d97-5510b0e7884c;9904279V26000001146;9904279V;non;
8000061535;DIFFERENT_REFERENCE;2;2;2026-01-16 15:29:21;jp.sery;OK;d45af3df-dd5f-4352-b632-8cf8159a4047;9904279V26000001147;9904279V;non;
8000062137;DIFFERENT_REFERENCE;2;1;2026-01-30 17:38:29;blandine.toure;OK;b04b3e3b-ee3d-4449-a598-4cdb07e00927;9904279V26000001904;9904279V;non;
8000062137;DIFFERENT_REFERENCE;2;2;2026-01-30 17:38:30;blandine.toure;OK;171e7a63-2c3c-46fc-b061-373566706f4b;9904279V26000001905;9904279V;non;
8000062143;DIFFERENT_REFERENCE;2;1;2026-01-30 17:42:40;blandine.toure;OK;cd722b36-a1cd-47fb-9cc9-f5ade7b17994;9904279V26000001911;9904279V;non;
8000062143;DIFFERENT_REFERENCE;2;2;2026-01-30 17:42:41;blandine.toure;OK;9a407952-4094-493a-b955-aeb2778c911f;9904279V26000001912;9904279V;non;
8000062305;DIFFERENT_REFERENCE;2;1;2026-02-05 16:12:29;blandine.toure;OK;49324e57-77e4-40c9-a6c1-0b8e1ac53033;9904279V26000002071;9904279V;non;
8000062305;DIFFERENT_REFERENCE;2;2;2026-02-05 16:12:29;blandine.toure;OK;cd76a70e-81c6-4c5d-af82-cb2ec9142814;9904279V26000002072;9904279V;non;
8000062310;DIFFERENT_REFERENCE;2;1;2026-02-05 16:28:50;blandine.toure;OK;0db78c11-9eff-4ab8-b225-9ced0d358327;9904279V26000002077;9904279V;non;
8000062310;DIFFERENT_REFERENCE;2;2;2026-02-05 16:28:51;blandine.toure;OK;cf984157-3722-484a-b09c-2733138ec31f;9904279V26000002078;9904279V;non;
8000062358;DIFFERENT_REFERENCE;2;1;2026-02-10 14:47:06;angele.obicoa;OK;629ccfba-8ed6-40c8-940a-be9dc0f24638;9904279V26000002124;9904279V;non;
8000062358;DIFFERENT_REFERENCE;2;2;2026-02-10 14:47:06;angele.obicoa;OK;f327012f-3d63-4879-8a42-68afa83a6880;9904279V26000002125;9904279V;non;
8000062360;DIFFERENT_REFERENCE;2;1;2026-02-10 14:50:44;angele.obicoa;OK;2861d946-d1e3-42ef-bc72-3dbb981ae496;9904279V26000002128;9904279V;non;
8000062360;DIFFERENT_REFERENCE;2;2;2026-02-10 14:50:44;angele.obicoa;OK;33972805-7553-47ba-a753-0574b7c56256;9904279V26000002127;9904279V;non;
8000062407;DIFFERENT_REFERENCE;2;1;2026-02-10 18:16:29;angele.obicoa;OK;1bf84eb0-1db8-436a-a9cf-754f6fac747c;9904279V26000002175;9904279V;non;
8000062407;DIFFERENT_REFERENCE;2;2;2026-02-10 18:16:29;angele.obicoa;OK;ea3fb45e-6484-461b-8b6a-fb6e47dd12cc;9904279V26000002176;9904279V;non;
8000062456;DIFFERENT_REFERENCE;2;1;2026-02-12 17:55:40;blandine.toure;OK;51978bde-f96b-4cff-8289-355dcd1dfbd1;9904279V26000002224;9904279V;non;
8000062456;DIFFERENT_REFERENCE;2;2;2026-02-12 17:55:41;blandine.toure;OK;e04661f0-ab19-4a91-82fc-c17098ed813a;9904279V26000002225;9904279V;non;
8000062470;DIFFERENT_REFERENCE;2;1;2026-02-12 18:16:41;blandine.toure;OK;5c2e8dbf-9754-40e5-85a0-3b8485c0da07;9904279V26000002239;9904279V;non;
8000062470;DIFFERENT_REFERENCE;2;2;2026-02-12 18:16:42;blandine.toure;OK;9d33453e-8dbe-4976-919a-5033d000966e;9904279V26000002240;9904279V;non;
8000062486;DIFFERENT_REFERENCE;2;1;2026-02-12 18:37:37;blandine.toure;OK;33d07078-c34f-40ee-aa01-c40b8811f931;9904279V26000002256;9904279V;non;
8000062486;DIFFERENT_REFERENCE;2;2;2026-02-12 18:37:37;blandine.toure;OK;455f0edf-e331-4f85-8709-c6311b2a2c9b;9904279V26000002257;9904279V;non;
8000062620;DIFFERENT_REFERENCE;2;1;2026-02-17 09:33:24;angele.obicoa;OK;5e8bdd3d-3343-45c9-a7b8-8c436a6d1cf3;9904279V26000002452;9904279V;non;
8000062620;DIFFERENT_REFERENCE;2;2;2026-02-17 09:33:24;angele.obicoa;OK;9f4b9d1f-6480-4f76-8d9c-9b5fbb5ef93b;9904279V26000002453;9904279V;non;
8000062627;DIFFERENT_REFERENCE;2;1;2026-02-17 09:40:27;angele.obicoa;OK;72daf3f5-2c0f-4f07-8c50-9004f8aa9013;9904279V26000002460;9904279V;non;
8000062627;DIFFERENT_REFERENCE;2;2;2026-02-17 09:40:28;angele.obicoa;OK;a0e5623a-d204-45d0-8387-6183c648d008;9904279V26000002461;9904279V;non;
8000062642;DIFFERENT_REFERENCE;2;1;2026-02-17 17:21:26;blandine.toure;OK;a44866e7-dddf-4e92-828f-992769677e18;9904279V26000002571;9904279V;non;
8000062642;DIFFERENT_REFERENCE;2;2;2026-02-17 17:21:26;blandine.toure;OK;1e50ac39-b715-441b-92e7-83bdc7399da6;9904279V26000002570;9904279V;non;
8000063215;DIFFERENT_REFERENCE;2;1;2026-03-09 14:14:11;blandine.toure;OK;c7e4ba5f-cdb3-4fd1-87b9-320e9cf59b52;9904279V26000003282;9904279V;non;
8000063215;DIFFERENT_REFERENCE;2;2;2026-03-09 14:14:11;blandine.toure;OK;9a91c2db-1949-4ca0-bff7-cc76324cb55a;9904279V26000003283;9904279V;non;
8000063285;DIFFERENT_REFERENCE;2;1;2026-03-11 15:40:38;blandine.toure;OK;e5c20dd2-82f9-468d-8214-881666cdd7d0;9904279V26000003357;9904279V;non;
8000063285;DIFFERENT_REFERENCE;2;2;2026-03-11 15:40:38;blandine.toure;OK;6b09e255-cb7b-442c-9d49-f131699efea4;9904279V26000003356;9904279V;non;
8000063288;DIFFERENT_REFERENCE;2;1;2026-03-11 15:44:47;blandine.toure;OK;4db29eaa-64a4-4654-847f-004af2f2cd08;9904279V26000003360;9904279V;non;
